id,dlxs_title,dlxs_author,bib_titles,bib_authors,pubplace,publisher,pubdate,notes,lang,keywords
AQJ2106.0001.001,Ang apat ca caolehe-an sang taou:  por Mariano Perfecto.," Perfecto, Mariano, b. 1858",['Ang apat ca caolehe-an sang taou:  por Mariano Perfecto.'],"[' Perfecto, Mariano, b. 1858', 'American Philosophical Society. Library.']","Mandurriao, Iloilo :","La Panayana,",1924.,"['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Bartlett Collection on the Philippines and the East Indies.']",['spa: Spanish'],['Human beings -- Miscellanea.']
AEZ2963.0001.001,"Bibliografía dramática cubana, incluye a Puerto Rico y Santo Domingo,"," Perrier, Joseph Louis, b. 1874.","['Bibliografía dramática cubana, incluye a Puerto Rico y Santo Domingo,']","[' Perrier, Joseph Louis, b. 1874.']","New York,","the Phos press,",1926.,[],['spa: Spanish'],"['Cuban drama -- Bibliography.', 'Puerto Rican literature -- Bibliography.']"
ABZ4072.0001.001,"The course of empire, an offical record by Senator R. F. Pettigrew. Introduction by Scott Nearing."," Pettigrew, Richard F. (Richard Franklin), 1848-1926.","['The course of empire, an offical record by Senator R. F. Pettigrew. Introduction by Scott Nearing.']","[' Pettigrew, Richard F. (Richard Franklin), 1848-1926.']","New York,",Boni & Liveright,[c1920],"[""A collection of Senator Pettigrew's speeches delivered in Congress, 1893-1901."", 'pt. I. Hawaii.--pt. II. The acquisition of the Philippines.--pt. III. Imperialism at home. Appendices.']",['eng: English'],"['United States -- Politics and government', 'United States -- Politics and government', 'United States -- Colonial question', 'Hawaii -- Annexation to the United States', 'Philippines -- Politics and government']"
AFM3313.0001.001,"The peoples of the Philippine Islands; a lecture delivered before the California branch of the American folk-lore society,"," Phelan, Henry Du Rest.","['The peoples of the Philippine Islands; a lecture delivered before the California branch of the American folk-lore society,']","[' Phelan, Henry Du Rest.']","San Francisco, Cal.,","Dettner-Travers pres, inc.,",1906.,[],['eng: English'],['Ethnology -- Philippines']
ADT4585.0001.001,"The peoples of the Philippine Islands;:  a lecture delivered before the California branch of the American folklore society, by Captain Henry Du R. Phelan, U.S.V."," Phelan, Henry Du Rest.","['The peoples of the Philippine Islands;:  a lecture delivered before the California branch of the American folklore society, by Captain Henry Du R. Phelan, U.S.V.']","[' Phelan, Henry Du Rest.']","San Francisco, Cal.,","Dettner-Travers press, inc.,",1906.,"['Microfilm. [New York] New York Public Library Photographic Service, 1978. 1 reel. 35 mm. ""BFG p.v. 4 [no.] 10.""']",['eng: English'],['Ethnology -- Philippines']
ACM7987.0001.001,The friar's daughter : a story of the American occupation of the Philippines / Charles Lincoln Phifer.," Phifer, Charles Lincoln, 1860-1931.","[""The friar's daughter : a story of the American occupation of the Philippines / Charles Lincoln Phifer.""]","[' Phifer, Charles Lincoln, 1860-1931.']","Girard, Kansas :","the author,",1909.,[],['eng: English'],"['Historical fiction, Philippine.', 'Philippines -- History']"
ACX0689.0001.001,"The Philippine agricultural review.  [Vol. 1, no. 1]",,"['The Philippine agricultural review.  [Vol. 1, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0001.012,"The Philippine agricultural review.  [Vol. 1, no. 12]",,"['The Philippine agricultural review.  [Vol. 1, no. 12]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0010.001,"The Philippine agricultural review.  [Vol. 10, no. 1]",,"['The Philippine agricultural review.  [Vol. 10, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0011.001,"The Philippine agricultural review.  [Vol. 11, no. 1]",,"['The Philippine agricultural review.  [Vol. 11, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0014.001,"The Philippine agricultural review.  [Vol. 14, no. 1]",,"['The Philippine agricultural review.  [Vol. 14, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0015.001,"The Philippine agricultural review.  [Vol. 15, no. 1]",,"['The Philippine agricultural review.  [Vol. 15, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0016.001,"The Philippine agricultural review.  [Vol. 16, no. 1]",,"['The Philippine agricultural review.  [Vol. 16, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0018.002,"The Philippine agricultural review.  [Vol. 18, no. 2]",,"['The Philippine agricultural review.  [Vol. 18, no. 2]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0019.002,"The Philippine agricultural review.  [Vol. 19, no. 2]",,"['The Philippine agricultural review.  [Vol. 19, no. 2]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0019.004,"The Philippine agricultural review.  [Vol. 19, no. 4]",,"['The Philippine agricultural review.  [Vol. 19, no. 4]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0002.001,"The Philippine agricultural review.  [Vol. 2, no. 1]",,"['The Philippine agricultural review.  [Vol. 2, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0002.006,"The Philippine agricultural review.  [Vol. 2, no. 6]",,"['The Philippine agricultural review.  [Vol. 2, no. 6]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0020.002,"The Philippine agricultural review.  [Vol. 20, no. 2]",,"['The Philippine agricultural review.  [Vol. 20, no. 2]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0021.002,"The Philippine agricultural review.  [Vol. 21, no. 2]",,"['The Philippine agricultural review.  [Vol. 21, no. 2]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0022.002,"The Philippine agricultural review.  [Vol. 22, no. 2]",,"['The Philippine agricultural review.  [Vol. 22, no. 2]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0003.001,"The Philippine agricultural review.  [Vol. 3, no. 1]",,"['The Philippine agricultural review.  [Vol. 3, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0003.007,"The Philippine agricultural review.  [Vol. 3, no. 7]",,"['The Philippine agricultural review.  [Vol. 3, no. 7]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0004.001,"The Philippine agricultural review.  [Vol. 4, no. 1]",,"['The Philippine agricultural review.  [Vol. 4, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0004.006,"The Philippine agricultural review.  [Vol. 4, no. 6]",,"['The Philippine agricultural review.  [Vol. 4, no. 6]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0005.001,"The Philippine agricultural review.  [Vol. 5, no. 1]",,"['The Philippine agricultural review.  [Vol. 5, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0005.009,"The Philippine agricultural review.  [Vol. 5, no. 9]",,"['The Philippine agricultural review.  [Vol. 5, no. 9]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0006.001,"The Philippine agricultural review.  [Vol. 6, no. 1]",,"['The Philippine agricultural review.  [Vol. 6, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0006.007,"The Philippine agricultural review.  [Vol. 6, no. 7]",,"['The Philippine agricultural review.  [Vol. 6, no. 7]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0007.002,"The Philippine agricultural review.  [Vol. 7, no. 2]",,"['The Philippine agricultural review.  [Vol. 7, no. 2]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0007.006,"The Philippine agricultural review.  [Vol. 7, no. 6]",,"['The Philippine agricultural review.  [Vol. 7, no. 6]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ACX0689.0008.001,"The Philippine agricultural review.  [Vol. 8, no. 1]",,"['The Philippine agricultural review.  [Vol. 8, no. 1]']",['Philippines. Bureau of Agriculture.'],,,,"['From Jan. 1908 to Sept. 1914 issued also in Spanish with title: Revista agrícola de Filipinas.', 'Superseded by Philippine journal of agriculture (later called Philippine journal of plant industry)']",['eng: English'],"['Agriculture -- Philippines', 'Agriculture -- Periodicals.']"
ASK1023.0001.001,The Philippine balance sheet: ,,['The Philippine balance sheet: '],[],,,,"['""From the Johnstown, Pa., Democrat of February 9.""', 'Microfilm. [New York, N.Y.], New York Public Library Photographic Service, 1978. 1 reel. 35 mm. ""BFG p.v. 5 [no.] 12.""']",['eng: English'],"['Philippines -- History', 'Philippines -- Relations -- United States.', 'United States -- Relations -- Philippines.']"
AHZ9422.0001.001,"Address and petition, with list of signatures, to the Republican and Democratic national conventions at Chicago and St. Louis.",Philippine independence committee.,"['Address and petition, with list of signatures, to the Republican and Democratic national conventions at Chicago and St. Louis.']",['Philippine independence committee.'],,,,[],['eng: English'],[]
ACC6166.0001.001,"Facts about the Filipinos.  [Vol. 1, no. 1]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 1]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.010,"Facts about the Filipinos.  [Vol. 1, no. 10]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 10]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.002,"Facts about the Filipinos.  [Vol. 1, no. 2]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 2]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.003,"Facts about the Filipinos.  [Vol. 1, no. 3]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 3]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.004,"Facts about the Filipinos.  [Vol. 1, no. 4]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 4]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.005,"Facts about the Filipinos.  [Vol. 1, no. 5]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 5]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.006,"Facts about the Filipinos.  [Vol. 1, no. 6]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 6]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.007,"Facts about the Filipinos.  [Vol. 1, no. 7]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 7]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.008,"Facts about the Filipinos.  [Vol. 1, no. 8]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 8]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACC6166.0001.009,"Facts about the Filipinos.  [Vol. 1, no. 9]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 1, no. 9]']",['Philippine Information Society.'],,,,"['Forms the revised edition of the 1st series of publications of the Society. The series as originally printed from Dec. 25, 1900-Apr. 22, 1901, was in 8 numbers (2-9) issued as separate pamphlets. Of the 3 other numbers announced (1,10 and 11) no. 1 was never printed as a separate pamphlet, nos. 10 and 11 were issued as nos. 9 and 10 respectively of the revised edition.', 'The ""Philippine review"" forms the second series of publications of the Society.']",['eng: English'],['Philippines -- History']
ACW9437.0002.001,"Facts about the Filipinos.  [Vol. 2, no. 1]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 2, no. 1]']",['Philippine Information Society.'],,,,"['Issued as separate pamphlets.', 'Three numbers were announced, but not printed in the first edition (1, 10, and 11). No. 1 ""Jose Rizal, the Filipino patriot"" was never printed as a separate pamphlet, but a section of no. 1 of the revised edition is devoted to Rizal. No. 10 and 11 were issued under slightly changed titles as no. 9 and 10 respectively of the revised edition.', 'A revised edition of the series was published with the above title in semimonthly numbers from May 1 to Sept. 15, 1901.']",['eng: English'],['Philippines -- History']
ACW9437.0003.001,"Facts about the Filipinos.  [Vol. 3, no. 1]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 3, no. 1]']",['Philippine Information Society.'],,,,"['Issued as separate pamphlets.', 'Three numbers were announced, but not printed in the first edition (1, 10, and 11). No. 1 ""Jose Rizal, the Filipino patriot"" was never printed as a separate pamphlet, but a section of no. 1 of the revised edition is devoted to Rizal. No. 10 and 11 were issued under slightly changed titles as no. 9 and 10 respectively of the revised edition.', 'A revised edition of the series was published with the above title in semimonthly numbers from May 1 to Sept. 15, 1901.']",['eng: English'],['Philippines -- History']
ACW9437.0003.002,"Facts about the Filipinos.  [Vol. 3, no. 2]",Philippine Information Society.,"['Facts about the Filipinos.  [Vol. 3, no. 2]']",['Philippine Information Society.'],,,,"['Issued as separate pamphlets.', 'Three numbers were announced, but not printed in the first edition (1, 10, and 11). No. 1 ""Jose Rizal, the Filipino patriot"" was never printed as a separate pamphlet, but a section of no. 1 of the revised edition is devoted to Rizal. No. 10 and 11 were issued under slightly changed titles as no. 9 and 10 respectively of the revised edition.', 'A revised edition of the series was published with the above title in semimonthly numbers from May 1 to Sept. 15, 1901.']",['eng: English'],['Philippines -- History']
